Time	resampled X
7.060000	7.97007847	
7.080000	7.77689743	
7.100000	5.21454906	
7.120000	4.17636919	
7.140000	3.32877016	
7.160000	2.88855982	
7.180000	2.15166497	
7.200000	1.33973253	
7.220000	0.89994586	
7.240000	0.71819752	
7.260000	0.59588742	
7.280000	0.60738629	
7.300000	0.53974134	
7.320000	0.43409449	
7.340000	0.38564831	
7.360000	0.36406144	
7.380000	0.35013300	
7.400000	0.33542347	
7.420000	0.36000448	
7.440000	0.34253824	
7.460000	0.31749275	
7.480000	0.34534851	
7.500000	0.41663340	
7.520000	0.65449286	
7.540000	1.41599727	
7.560000	4.10850477	
7.580000	13.60234261	
7.600000	28.04464531	
7.620000	20.52615738	
7.640000	14.10914993	
7.660000	11.92840195	
7.680000	12.56297684	
7.700000	10.42138767	
7.720000	8.58119774	
7.740000	8.02565098	
7.760000	6.09045124	
7.780000	4.52461529	
7.800000	3.68853974	
7.820000	3.23136783	
7.840000	2.87328744	
7.860000	2.70591664	
7.880000	2.28664064	
7.900000	1.82170343	
7.920000	1.18306315	
7.940000	0.94168693	
7.960000	0.99266827	
7.980000	0.87652957	
8.000000	0.66626006	
8.020000	0.58645630	
8.040000	0.52158046	
8.059999	0.42402461	
8.080000	0.37964797	
8.099999	0.35042346	
8.120000	0.33238077	
8.139999	0.35914245	
8.160000	0.50390750	
8.179999	0.67430258	
8.200000	1.13915515	
8.220000	2.85346246	
8.240000	9.12514305	
8.260000	26.03003693	
8.280000	23.41139030	
8.300000	16.39617920	
8.320000	12.03888321	
8.340000	12.90789413	
8.360000	10.96697044	
8.380000	9.29423523	
8.400000	7.82296944	
8.420000	6.87761450	
8.440000	4.65315580	
8.460000	4.01561880	
8.480000	3.41435647	
8.500000	2.83472776	
8.520000	1.94780564	
8.540000	1.17886019	
8.559999	0.86178261	
8.580000	0.71960366	
8.599999	0.64153188	
8.620000	0.59064364	
8.639999	0.49322832	
8.660000	0.44904378	
8.679999	0.53697300	
8.700000	0.54020333	
8.720000	0.46156549	
8.740000	0.41639358	
8.760000	0.38922825	
8.780000	0.35684580	
8.800000	0.37259600	
8.820000	0.39912969	
8.840000	0.49549839	
8.860000	0.81533521	
8.880000	1.97689927	
8.900000	6.17009258	
8.920000	20.67812729	
8.940000	26.88038254	
8.960000	19.19283676	
8.980000	13.11579609	
9.000000	12.62935257	
9.020000	12.16718960	
9.040000	10.19291019	
9.059999	8.11356258	
9.080000	7.92146873	
9.099999	5.30653286	
9.120000	4.25890923	
9.139999	3.44148564	
9.160000	2.98051643	
9.179999	2.20135760	
9.200000	1.35858059	
9.220000	0.89849079	
9.240000	0.69828421	
9.260000	0.64004654	
9.280000	0.64897388	
9.300000	0.57047403	
9.320000	0.47637978	
9.340000	0.41841519	
9.360000	0.39473173	
9.380000	0.35537365	
9.400000	0.33407214	
9.420000	0.36958528	
9.440000	0.40379968	
9.460000	0.48735106	
